Category,Name,ID,Level,Event Log,Event Source,
"Account Usage","Account Lockouts","4740","Information","Security","Microsoft-Windows-Security-Auditing",
"Account Usage","Account Login with Explicit Credentials","4648","Information","Security","Microsoft-Windows-Security-Auditing",
"Account Usage","Account Name Changed","4781","Information","Security","Microsoft-Windows-Security-Auditing",
"Account Usage","Account removed from Local Sec. Grp.","4733","Information","Security","Microsoft-Windows-Security-Auditing",
"Account Usage","Create Profile failed","1518","Error","Application","Microsoft-Windows-User Profiles Service",
"Account Usage","Credential Authentication","4776","Information","Security","Microsoft-Windows-Security-Auditing",
"Account Usage","Credentials backed up","5376","Information","Security","Microsoft-Windows-Security-Auditing",
"Account Usage","Credentials restored","5377","Information","Security","Microsoft-Windows-Security-Auditing",
"Account Usage","Failed User Account Login","4625","Information","Security","Microsoft-Windows-Security-Auditing",
"Account Usage","Group Assigned to new Session","300","Information","Microsoft-Windows-LSA/Operational","LsaSrv",
"Account Usage","Logoff Event","4634","Information","Security","Microsoft-Windows-Security-Auditing",
"Account Usage","Logon with Special Privs","4672","Information","Security","Microsoft-Windows-Security-Auditing",
"Account Usage","New User Account Created","4720","Information","Security","Microsoft-Windows-Security-Auditing",
"Account Usage","New User Account Enabled","4722","Information","Security","Microsoft-Windows-Security-Auditing",
"Account Usage","Password Hash Accessed","4782","Information","Security","Microsoft-Windows-Security-Auditing",
"Account Usage","Password Policy Checking API called","4793","Information","Security","Microsoft-Windows-Security-Auditing",
"Account Usage","Security-enabled Group Created","4731","Information","Security","Microsoft-Windows-Security-Auditing",
"Account Usage","Security-Enabled group Modification","4735","Information","Security","Microsoft-Windows-Security-Auditing",
"Account Usage","SID History add attempted on Account","4766","Information","Security","Microsoft-Windows-Security-Auditing",
"Account Usage","SID History added to Account","4765","Information","Security","Microsoft-Windows-Security-Auditing",
"Account Usage","Successful User Account Login","4624","Information","Security","Microsoft-Windows-Security-Auditing",
"Account Usage","Temp Profile Logon","1511","Error","Application","Microsoft-Windows-User Profiles Service",
"Account Usage","User Account Deleted","4726","Information","Security","Microsoft-Windows-Security-Auditing",
"Account Usage","User Account Disabled","4725","Information","Security","Microsoft-Windows-Security-Auditing",
"Account Usage","User Account Unlocked","4767","Information","Security","Microsoft-Windows-Security-Auditing",
"Account Usage","User Added to Privileged Group","4728, 4732, 4756","Information","Security","Microsoft-Windows-Security-Auditing",
"Account Usage","User Right Assigned","4704","Information","Security","Microsoft-Windows-Security-Auditing",
"Application Crashes","App Crash","1000","Error","Application","Application Error",
"Application Crashes","App Error","1000","Error","Application","Application Error",
"Application Crashes","App Hang","1002","Error","Application","Application Hang",
"Application Crashes","BSOD","1001","Error","System","Microsoft-Windows-WER-SystemErrorReporting",
"Application Crashes","WER","1001","Information","Application","Windows Error Reporting",
"Application Whitelisting","Application Installed","8023","Information","Microsoft-Windows-AppLocker/Packaged app-Deployment","Microsoft-Windows-AppLocker",
"Application Whitelisting","Application Ran","8020","Information","Microsoft-Windows-AppLocker/Packaged app-Execution","Microsoft-Windows-AppLocker",
"Application Whitelisting","AppLocker Block","8002","Information","Microsoft-Windows-AppLocker/EXE and DLL","Microsoft-Windows-AppLocker",
"Application Whitelisting","AppLocker Block","8003","Error","Microsoft-Windows-AppLocker/EXE and DLL","Microsoft-Windows-AppLocker",
"Application Whitelisting","AppLocker Block","8004","Warning","Microsoft-Windows-AppLocker/EXE and DLL","Microsoft-Windows-AppLocker",
"Application Whitelisting","AppLocker Warning","8006","Error","Microsoft-Windows-AppLocker/MSI and Script","Microsoft-Windows-AppLocker",
"Application Whitelisting","AppLocker Warning","8007","Warning","Microsoft-Windows-AppLocker/MSI and Script","Microsoft-Windows-AppLocker",
"Application Whitelisting","Process Created","4688","Information","Security","Microsoft-Windows-Security-Auditing",
"Application Whitelisting","Process Terminated","4689","Information","Security","Microsoft-Windows-Security-Auditing",
"Application Whitelisting","Script or Installer ran","8005","Information","Microsoft-Windows-AppLocker/MSI and Script","Microsoft-Windows-AppLocker",
"Application Whitelisting","SRP Block","865, 866, 867, 868, 882","Warning","Application","Microsoft-Windows-SoftwareRestrictionPolicies",
"Boot Events","Shutdown Initiate Failed","1074","Warning","User32","User32",
"Boot Events","Windows Shutdown","13","Information","System","Microsoft-Windows-Kernel-General",
"Boot Events","Windows Startup","12","Information","System","Microsoft-Windows-Kernel-General",
